year,quarter,sector,ai_productivity_multiplier,source
2025,1,creative,1.6074,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,management,1.2921,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,manufacturing,1.5183,Goldman Sachs + Brynjolfsson et al. (2024)
2025,1,healthcare_education,1.3382,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,software_engineering,1.8009,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,knowledge_work,1.4620,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,manual_labor,1.2365,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,creative,1.6612,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,management,1.3123,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,manufacturing,1.5692,Goldman Sachs + Brynjolfsson et al. (2024)
2025,2,healthcare_education,1.3632,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,software_engineering,1.8615,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,knowledge_work,1.4925,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,manual_labor,1.2475,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,creative,1.7086,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,management,1.3299,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,manufacturing,1.6145,Goldman Sachs + Brynjolfsson et al. (2024)
2025,3,healthcare_education,1.3850,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,software_engineering,1.9163,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,knowledge_work,1.5198,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,manual_labor,1.2572,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,creative,1.7513,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,management,1.3455,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,manufacturing,1.6556,Goldman Sachs + Brynjolfsson et al. (2024)
2025,4,healthcare_education,1.4045,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,software_engineering,1.9666,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,knowledge_work,1.5446,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,manual_labor,1.2659,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,creative,1.7905,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,management,1.3596,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,manufacturing,1.6934,Goldman Sachs + Brynjolfsson et al. (2024)
2026,1,healthcare_education,1.4222,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,software_engineering,2.0132,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,knowledge_work,1.5675,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,manual_labor,1.2739,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,creative,1.8266,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,management,1.3725,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,manufacturing,1.7286,Goldman Sachs + Brynjolfsson et al. (2024)
2026,2,healthcare_education,1.4384,Goldman Sachs + Brynjolfsson et al. (2024)
